0311	array	Retrieve array indices with ${!a}
0312	array	Retrieve sparse array indices with ${!a}
0313	array	${!a[1]} is named ref in bash
0314	array	${!a} on array
0315	array	All elements unquoted
0316	array	All elements quoted
0317	array	$*
0318	array	"$*"
0319	array	Interpolate array into array
0320	array	Exporting array doesn't do anything, not even first element
0321	array	strict_array prevents exporting array
0322	array	Arrays can't be used as env bindings
0323	array	Associative arrays can't be used as env bindings either
0324	array	glob within array yields separate elements
0325	array	declare array and then append
0326	array	Array syntax in wrong place
0327	array	Single array with :-
0328	array	Stripping a whole array unquoted
0329	array	Stripping a whole array quoted
0330	array	Multiple subscripts not allowed
0331	array	Length op, index op, then transform op is not allowed
0332	array	${mystr[@]} and ${mystr[*]} are no-ops
0333	array	${mystr[@]} and ${mystr[*]} disallowed with strict_array
0334	array	Create a "user" array out of the argv array
0335	array	Tilde expansion within array
0336	array	Brace Expansion within Array
0337	array	array default
0338	array	Singleton Array Copy and Assign.  OSH can't index strings with ints
0339	array	declare -a / local -a is empty array
0340	array	Create sparse array
0341	array	Create sparse array implicitly
0342	array	Append sparse arrays
0343	array	Slice of sparse array with [@]
0344	array	Using an array itself as the index on LHS
0345	array	Using an array itself as the index on RHS
0346	array	a[$x$y] on LHS and RHS
0347	array	Dynamic parsing of LHS a[$code]=value
0348	array	Dynamic parsing of RHS ${a[$code]}
0349	array	Is element set?  test -v a[i]
0350	array	[[ -v a[i] ]]
0351	array	test -v a[i] with arith expressions
0352	array	More arith expressions in [[ -v array[expr]] ]]
0353	array	Regression: Assigning with out-of-range negative index
0354	array	Regression: Negative index in [[ -v a[index] ]]
0355	array	Regression: Negative out-of-range index in [[ -v a[index] ]]
0356	array	a+=() modifies existing instance of BashArray
0357	array	Regression: unset a[-2]: out-of-bound negative index should cause error
0358	array	Regression: Out-of-bound negative offset for ${a[@]:offset}
0359	array	Regression: Array length after unset
0360	array	Regression: ${a[@]@Q} crash with `a[0]=x a[2]=y`
0361	array	Regression: silent out-of-bound negative index in ${a[-2]} and $((a[-2]))
0362	assign-deferred	typeset a[3]=4
0363	assign-deferred	typeset -a a[1]=a a[3]=c
0364	assign-deferred	local a[3]=4
0365	assign-deferred	readonly a[7]=8
0366	assign-deferred	export a[7]=8
0367	assign-deferred	'builtin' prefix is allowed on assignments
0368	assign-deferred	'command' prefix is allowed on assignments
0369	assign-deferred	is 'builtin' prefix and array allowed?  OSH is smarter
0370	assign-deferred	is 'command' prefix and array allowed?  OSH is smarter
0371	assign-dialects	K and V are variables in (( array[K] = V ))
0372	assign-dialects	test -v with strings
0373	assign-dialects	test -v with arrays
0374	assign-dialects	test -v with assoc arrays
0375	assign-extended	local -a
0376	assign-extended	declare -a
0377	assign-extended	declare -f exit code indicates function existence
0378	assign-extended	declare -F prints function names
0379	assign-extended	declare -F with shopt -s extdebug prints more info
0380	assign-extended	declare -F with shopt -s extdebug and main file
0381	assign-extended	declare -p var (exit status)
0382	assign-extended	declare
0383	assign-extended	declare -p
0384	assign-extended	declare -p doesn't print binary data, but can be loaded into bash
0385	assign-extended	declare -p var
0386	assign-extended	declare -p arr
0387	assign-extended	declare -p foo=bar doesn't make sense
0388	assign-extended	declare -pnrx
0389	assign-extended	declare -paA
0390	assign-extended	declare -pnrx var
0391	assign-extended	declare -pg
0392	assign-extended	declare -pg var
0393	assign-extended	ble.sh: eval -- "$(declare -p var arr)"
0394	assign-extended	declare -p and value.Undef
0395	assign-extended	eval -- "$(declare -p arr)" (restore arrays w/ unset elements)
0396	assign-extended	declare -p UNDEF (and typeset) -- prints something to stderr
0397	assign-extended	typeset -f
0398	assign-extended	typeset -p
0399	assign-extended	typeset -r makes a string readonly
0400	assign-extended	typeset -ar makes it readonly
0401	assign-extended	typeset -x makes it exported
0402	assign-extended	Multiple assignments / array assignments on a line
0403	assign-extended	Env bindings shouldn't contain array assignments
0404	assign-extended	syntax error in array assignment
0405	assign-extended	declare -g (bash-specific; bash-completion uses it)
0406	assign-extended	myvar=typeset (another form of dynamic assignment)
0407	assign-extended	dynamic array parsing is not allowed
0408	assign-extended	dynamic flag in array in assign builtin
0409	assign-extended	typeset +x
0410	assign-extended	typeset +r removes read-only attribute (TODO: documented in bash to do nothing)
0411	assign-extended	function name with /
0412	assign-extended	invalid var name
0413	assign-extended	unset and shell funcs
0414	assign	Env value doesn't persist
0415	assign	Env value with equals
0416	assign	Env binding can use preceding bindings, but not subsequent ones
0417	assign	Env value with two quotes
0418	assign	Env value with escaped <
0419	assign	FOO=foo echo [foo]
0420	assign	FOO=foo fun
0421	assign	Multiple temporary envs on the stack
0422	assign	Escaped = in command name
0423	assign	Env binding not allowed before compound command
0424	assign	Trying to run keyword 'for'
0425	assign	Empty env binding
0426	assign	Assignment doesn't do word splitting
0427	assign	Assignment doesn't do glob expansion
0428	assign	Env binding in readonly/declare is NOT exported!  (pitfall)
0429	assign	assignments / array assignments not interpreted after 'echo'
0430	assign	dynamic local variables (and splitting)
0431	assign	readonly x= gives empty string (regression)
0432	assign	'local x' does not set variable
0433	assign	'local -a x' does not set variable
0434	assign	'local x' and then array assignment
0435	assign	'declare -A' and then dict assignment
0436	assign	declare in an if statement
0437	assign	Modify a temporary binding
0438	assign	Reveal existence of "temp frame" (All shells disagree here!!!)
0439	assign	Test above without 'local' (which is not POSIX)
0440	assign	Using ${x-default} after unsetting local shadowing a global
0441	assign	Using ${x-default} after unsetting a temp binding shadowing a global
0442	assign	static assignment doesn't split
0443	assign	aliased assignment doesn't split
0444	assign	assignment using dynamic keyword (splits in most shells, not in zsh/osh)
0445	assign	assignment using dynamic var names doesn't split
0446	assign	assign and glob
0447	assign	declare and glob
0448	assign	readonly $x where x='b c'
0449	assign	readonly a=(1 2) no_value c=(3 4) makes 'no_value' readonly
0450	assign	export a=1 no_value c=2
0451	assign	local a=loc $var c=loc
0452	assign	redirect after assignment builtin (eval redirects after evaluating arguments)
0453	assign	redirect after command sub (like case above but without assignment builtin)
0454	assign	redirect after bare assignment
0455	assign	redirect after declare -p
0456	assign	declare -a arr does not remove existing arrays (OSH regression)
0457	assign	declare -A dict does not remove existing arrays (OSH regression)
0458	assign	"readonly -a arr" and "readonly -A dict" should not not remove existing arrays
0459	assign	"declare -a arr" and "readonly -a a" creates an empty array (OSH)
0460	assign	"var d = {}; declare -p d" does not print anything (OSH)
0461	assign	readonly array should not be modified by a+=(1)
0462	background	wait with nothing to wait for
0463	background	wait -n with arguments - arguments are respected
